"User Utterance","Intent Label","Expected Primary Action","Expected Secondary Action","Must-Include Safety Language","Edge-Case Notes"
"How do I apply for legal help?","apply_for_help","/apply-for-help","","no","Standard query"
"i need a lawyer but i dont have money","apply_for_help","/apply-for-help","","no","Lowercase, informal"
"can u help me with my case","apply_for_help","/apply-for-help","","no","Abbreviation 'u'"
"how to get free legal aid","apply_for_help","/apply-for-help","","no","Standard"
"aply for help","apply_for_help","/apply-for-help","","no","Typo: 'aply'"
"do i quailfy for assistance","apply_for_help","/apply-for-help","","no","Typo: 'quailfy'"
"need legal representaion","apply_for_help","/apply-for-help","","no","Typo: 'representaion'"
"im poor and need a lawer","apply_for_help","/apply-for-help","","no","Typos: 'im', 'lawer'"
"legal aid application","apply_for_help","/apply-for-help","","no","Noun phrase"
"sign me up for help","apply_for_help","/apply-for-help","","no","Casual phrasing"
"where do I start to get help","apply_for_help","/apply-for-help","","no","Indirect"
"I want to apply","apply_for_help","Ask clarifying question","","no","Ambiguous - needs clarification"
"what is the hotline number","legal_advice_line","/legal-advice-line","","no","Standard"
"can I talk to someone on the phone","legal_advice_line","/legal-advice-line","","no","Indirect"
"legal advise line","legal_advice_line","/legal-advice-line","","no","Misspelling: 'advise'"
"hot line number","legal_advice_line","/legal-advice-line","","no","Two words"
"call in for legal help","legal_advice_line","/legal-advice-line","","no","Casual"
"phone consultation","legal_advice_line","/legal-advice-line","","no","Formal"
"i wanna talk to a real person","legal_advice_line","/legal-advice-line","","no","Slang: 'wanna'"
"telephone legal advice","legal_advice_line","/legal-advice-line","","no","Formal"
"how do i call you guys","legal_advice_line","/legal-advice-line","/contact/offices","no","Could be hotline or office"
"is there a helpline","legal_advice_line","/legal-advice-line","","no","Synonym"
"advice hotline hours","legal_advice_line","/legal-advice-line","","no","Compound query"
"where is your office","offices_contact","/contact/offices","","no","Standard"
"office locations","offices_contact","/contact/offices","","no","Noun phrase"
"what time do you open","offices_contact","/contact/offices","","no","Hours query"
"hours of opperation","offices_contact","/contact/offices","","no","Typo: 'opperation'"
"are you open on saturdays","offices_contact","/contact/offices","","no","Specific day"
"boise office address","offices_contact","/contact/offices","","no","Location-specific"
"pocatello location","offices_contact","/contact/offices","","no","Location-specific"
"twin falls office","offices_contact","/contact/offices","","no","Location-specific"
"how do i contact you","offices_contact","/contact/offices","","no","General contact"
"email address","offices_contact","/contact/offices","","no","Specific contact method"
"where r u located","offices_contact","/contact/offices","","no","Abbreviations"
"adress please","offices_contact","/contact/offices","","no","Typo: 'adress'"
"nearest office to me","offices_contact","/contact/offices","","no","Proximity query"
"I want to donate","donations","/donate","","no","Standard"
"how can I give money","donations","/donate","","no","Indirect"
"accept credit cards for donations","donations","/donate","","no","Payment method"
"tax deductible donation","donations","/donate","","no","Tax question"
"donate to idaho legal aid","donations","/donate","","no","Organization-specific"
"charitable contribution","donations","/donate","","no","Formal"
"want to support your work","donations","/donate","/get-involved/feedback","no","Could be donation or volunteer"
"donatoin page","donations","/donate","","no","Typo: 'donatoin'"
"give money","donations","/donate","","no","Brief"
"i want to complain","feedback_complaints","/get-involved/feedback","","no","Direct"
"how do I file a complaint","feedback_complaints","/get-involved/feedback","","no","Standard"
"bad experience with your lawyer","feedback_complaints","/get-involved/feedback","","no","Negative feedback"
"feedback form","feedback_complaints","/get-involved/feedback","","no","Standard"
"your service was terrible","feedback_complaints","/get-involved/feedback","","no","Hostile tone"
"i have a complant","feedback_complaints","/get-involved/feedback","","no","Typo: 'complant'"
"speak to a supervisor","feedback_complaints","/get-involved/feedback","","no","Escalation request"
"want to leave a review","feedback_complaints","/get-involved/feedback","","no","Alternative phrasing"
"you people suck","feedback_complaints","/get-involved/feedback","","no","Hostile/vulgar"
